Datum;Inhaber;Betreff;Betrag
01.01.2019;Mietskaserne am R�benacker;Miete f�r Monat: January;-750 EUR
01.01.2019;Norddeutscher Rundfunk;Rundfunkbeitrag f�r January;-18,36 EUR
02.01.2019;VHV;Privathaftpflicht;-4,5 EUR
03.01.2019;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
03.01.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
05.01.2019;Otto;Buchungsnr: 4824067;-61,57 EUR
06.01.2019;BP;Giro Card Transaktion: 518867559;-82,2 EUR
07.01.2019;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 5929130;-10,37 EUR
07.01.2019;Amazon;Buchungsnr: 4352017;-59,42 EUR
09.01.2019;NP;Rechnungsnr: 6270508;-67,69 EUR
09.01.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 9051550;-9,31 EUR
09.01.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 977900952;-5,9 EUR
10.01.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
10.01.2019;Netflix ltd.;Netflix;-17,99 EUR
11.01.2019;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r January;-19,99 EUR
13.01.2019;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 2481068;-5,45 EUR
14.01.2019;NOVA;Gehalt f�r Monat: January;2000 EUR
14.01.2019;BK;Ihre Bestellung bei BK Rechnungsnummer: 8698442;-11,51 EUR
15.01.2019;Amazon;Buchungsnr: 1567846;-91,01 EUR
16.01.2019;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
17.01.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
17.01.2019;Oeffentlicher Personennahverkehr;Ihr Ticket: 974292545;-5,9 EUR
18.01.2019;Walt Disney;Disney+;-17,99 EUR
20.01.2019;NP;Rechnungsnr: 4079872;-68,73 EUR
20.01.2019;Apotheke im Zentrum;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 3449932;-24,9 EUR
20.01.2019;BK;Ihre Bestellung bei BK Rechnungsnummer: 6360745;-11,36 EUR
22.01.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 5766016;-6,91 EUR
23.01.2019;Rewe;Rechnungsnr: 2663169;-173,82 EUR
24.01.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
25.01.2019;Denns;Rechnungsnr: 8358590;-69,76 EUR
25.01.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 3034652;-11,39 EUR
25.01.2019;Jet;Giro Card Transaktion: 292233491;-54,42 EUR
01.02.2019;Mietskaserne am R�benacker;Miete f�r Monat: February;-750 EUR
01.02.2019;Norddeutscher Rundfunk;Rundfunkbeitrag f�r February;-18,36 EUR
01.02.2019;Otto;Buchungsnr: 7177307;-44,64 EUR
02.02.2019;Faultier-Apotheke;Vielen Dank f�r Ihren Einkauf! Rechnungsnr: 7435823;-24,9 EUR
02.02.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
02.02.2019;VHV;Privathaftpflicht;-4,5 EUR
03.02.2019;VfL;Ihr Mitgliedsbeitrag zum Verein f�r Leibesert�chtigung;-20 EUR
04.02.2019;Aldi;Rechnungsnr: 7655201;-43,16 EUR
04.02.2019;KFC;Ihre Bestellung bei KFC Rechnungsnummer: 3098561;-7,67 EUR
09.02.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
09.02.2019;Athenopolis;Bis zum n�chsten Mal! Athenopolis Rechnungsnummer: 7809;-13,9 EUR
10.02.2019;Penny;Rechnungsnr: 8259619;-34,79 EUR
10.02.2019;Netflix ltd.;Netflix;-17,99 EUR
11.02.2019;Fitness im K�sehaus;Muskelbutze Fitness im K�sehaus. Ihr Mitgliedsbeitrag f�r February;-19,99 EUR
13.02.2019;Netto;Rechnungsnr: 3044913;-41,09 EUR
13.02.2019;MCD;Ihre Bestellung bei MCD Rechnungsnummer: 3902469;-10,35 EUR
14.02.2019;NOVA;Gehalt f�r Monat: February;2000 EUR
14.02.2019;Uni Mensa;Ihre Bestellung bei Uni Mensa Rechnungsnummer: 2712979;-9,83 EUR
15.02.2019;Best D�ner in Town;Ihre Bestellung bei Best D�ner in Town Rechnungsnummer: 3043746;-9,18 EUR
15.02.2019;BK;Ihre Bestellung bei BK Rechnungsnummer: 4700642;-9,24 EUR
15.02.2019;Otto;Buchungsnr: 7223252;-60,75 EUR
16.02.2019;Stadtbad;Eintritt Schwimmbad;-7,5 EUR
16.02.2019;Otto;Buchungsnr: 9693933;-93,61 EUR
16.02.2019;Mein Sparkonto;Dauerauftrag KontoNr. 12345678;-200 EUR
18.02.2019;NP;Rechnungsnr: 6950422;-81,96 EUR
18.02.2019;Walt Disney;Disney+;-17,99 EUR
